region,state,city_station,id_station,lat,lon,lvl,record_first,record_last
SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33.0,2000-05-07,2023-08-31
SE,RJ,MARAMBAIA,A602,-23.05,-43.6,9.7,2002-11-08,2023-08-31
SE,RJ,XEREM,A603,-22.58972221,-43.28222221,33.0,2002-10-21,2023-08-31
SE,RJ,CAMBUCI,A604,-21.56666666,-41.95,35.0,2002-11-20,2023-08-31
SE,RJ,ARRAIAL DO CABO,A606,-22.98333333,-42.01666666,4.0,2006-09-24,2023-08-31
SE,RJ,CAMPOS,A607,-21.71666666,-41.35,25.0,2006-09-25,2023-08-31
SE,RJ,MACAE,A608,-22.38333333,-41.81666667,32.0,2006-09-22,2023-08-31
SE,RJ,RESENDE,A609,-22.45,-44.45,439.89,2006-09-29,2023-08-31
SE,RJ,PICO DO COUTO,A610,-22.48166666,-43.29138888,1777.0,2006-10-22,2023-08-31
SE,RJ,VALENCA,A611,-22.35,-43.7,367.0,2006-09-27,2023-08-31
SE,RJ,TERESOPOLIS,A618,-22.44888888,-42.98722221,980.0,2006-11-01,2023-08-31
SE,RJ,PARATI,A619,-23.22333332,-44.72666666,5.0,2006-11-19,2023-08-31
SE,RJ,VILA MILITAR,A621,-22.86083333,-43.41111111,45.0,2007-04-13,2023-08-31
SE,RJ,FORTE DE COPACABANA,A652,-22.98833333,-43.19027777,42.0,2007-05-18,2023-08-31
SE,RJ,SAO TOME,A620,-22.04166666,-41.05194444,8.0,2008-06-13,2023-08-31
SE,RJ,NOVA FRIBURGO,A624,-22.33305554,-42.67722221,1046.0,2010-09-17,2023-08-31
SE,RJ,SILVA JARDIM,A659,-22.64583333,-42.41583333,19.0,2015-08-28,2023-08-31
SE,RJ,SAQUAREMA,A667,-22.8711111,-42.60916666,16.0,2015-09-02,2023-08-31
SE,RJ,TRES RIOS,A625,-22.09833333,-43.20861111,305.0,2016-06-08,2023-08-31
SE,RJ,RIO CLARO,A626,-22.65361111,-44.04083333,516.0,2016-06-03,2023-08-31
SE,RJ,ANGRA DOS REIS,A628,-22.97583332,-44.30333333,6.0,2017-08-25,2023-08-31
SE,RJ,ITATIAIA,A635,-22.37388888,-44.70305555,2450.0,2017-09-01,2021-12-31
SE,RJ,RIO DE JANEIRO - JACAREPAGUA,A636,-22.93972221,-43.40277777,20.0,2017-08-10,2023-08-31
SE,RJ,NITEROI,A627,-22.86749999,-43.10194444,6.0,2018-07-13,2023-08-31
SE,RJ,CARMO,A629,-21.9386111,-42.60083333,293.0,2018-10-11,2023-08-31
SE,RJ,SANTA MARIA MADALENA,A630,-21.95055555,-42.01055555,517.0,2018-10-16,2023-08-31
SE,RJ,Paty do Alferes - Avelar,A637,-22.34722221,-43.41777777,508.0,2022-10-11,2023-08-31
