CITY,STATE,LONG,LAT,ALT
Angra Dos Reis,RJ,-44.31962726,-23.00911594,7.64
Aperibé,RJ,-42.10491665,-21.61942177,65.93
Araruama,RJ,-42.34109602,-22.87743839,12.1
Areal,RJ,-43.10106981,-22.236912,450.69
Armação Dos Búzios,RJ,-41.88774947,-22.75776379,10.97
Arraial Do Cabo,RJ,-42.02833597,-22.96763828,8.84
Barra Do Piraí,RJ,-43.82845245,-22.46959629,361.83
Barra Mansa,RJ,-44.17243137,-22.54530113,391.82
Belford Roxo,RJ,-43.39962497,-22.76455597,17.9
Bom Jardim,RJ,-42.41721148,-22.15330523,590.7
Bom Jesus Do Itabapoana,RJ,-41.67767979,-21.13449744,90.71
Cabo Frio,RJ,-42.0200748,-22.88076467,10.9
Cachoeiras De Macacu,RJ,-42.66316436,-22.46757087,156.65
Cambuci,RJ,-41.908636,-21.57727671,43.17
Campos Dos Goytacazes,RJ,-41.33047649,-21.75189863,12.83
Cantagalo,RJ,-42.3659776,-21.98183986,401.22
Carapebus,RJ,-41.6640106,-22.18259473,15.09
Cardoso Moreira,RJ,-41.61329635,-21.49615736,21.44
Carmo,RJ,-42.60971764,-21.92931178,347.67
Casimiro De Abreu,RJ,-42.20421054,-22.4795365,22.48
Comendador Levy Gasparian,RJ,-43.21722372,-22.03335894,310.08
Conceição De Macabu,RJ,-41.86775851,-22.08787153,62.36
Cordeiro,RJ,-42.36303054,-22.02777656,495.67
Duas Barras,RJ,-42.51509763,-22.05890609,564.7
Duque De Caxias,RJ,-43.30988807,-22.78525325,11
Engenheiro Paulo De Frontin,RJ,-43.67947683,-22.54368466,531.18
Guapimirim,RJ,-42.9783297,-22.51959579,38
Iguaba Grande,RJ,-42.22212454,-22.83905698,7.03
Itaboraí,RJ,-42.86034343,-22.74586302,41.12
Itaguaí,RJ,-43.77504063,-22.87125077,7.63
Italva,RJ,-41.69096476,-21.42510328,35.07
Itaocara,RJ,-42.07772952,-21.67050267,66.18
Itaperuna,RJ,-41.88620318,-21.21059108,115.32
Itatiaia,RJ,-44.56277199,-22.4970146,411.03
Japeri,RJ,-43.6537858,-22.64481857,32.94
Laje Do Muriaé,RJ,-42.13117442,-21.20572084,214.59
Macaé,RJ,-41.77506429,-22.36870497,7.46
Macuco,RJ,-42.25707388,-21.99022951,271.8
Magé,RJ,-43.04024613,-22.65434876,7.87
Mangaratiba,RJ,-44.04112655,-22.96171194,6.89
Maricá,RJ,-42.81982411,-22.91695534,7.52
Mendes,RJ,-43.72148689,-22.5174226,456.99
Mesquita,RJ,-43.42922376,-22.76808792,20.71
Miguel Pereira,RJ,-43.47467612,-22.45542661,644.4
Miracema,RJ,-42.19841141,-21.4111633,149.01
Natividade,RJ,-41.97644031,-21.04375699,183.6
Nilópolis,RJ,-43.41660998,-22.80751422,19.13
Niterói,RJ,-43.07582317,-22.89645239,117.78
Nova Friburgo,RJ,-42.53277126,-22.28646146,856.35
Nova Iguaçu,RJ,-43.45034533,-22.75983483,33.7
Paracambi,RJ,-43.70938456,-22.60972716,55.8
Paraíba Do Sul,RJ,-43.28954446,-22.16198154,289.1
Paraty,RJ,-44.7108585,-23.21941361,2.82
Paty Do Alferes,RJ,-43.42487092,-22.42741463,593.56
Petrópolis,RJ,-43.17733658,-22.51059861,829.43
Pinheiral,RJ,-44.00035456,-22.51567399,373.95
Piraí,RJ,-43.89935119,-22.62875691,384.7
Porciúncula,RJ,-42.04015636,-20.96260763,195.21
Porto Real,RJ,-44.29690073,-22.43294842,387.46
Quatis,RJ,-44.2627113,-22.40991866,406.14
Queimados,RJ,-43.55566955,-22.71743049,33.15
Quissamã,RJ,-41.4725094,-22.10664017,9.03
Resende,RJ,-44.44361342,-22.47118359,400.77
Rio Bonito,RJ,-42.62599784,-22.7112715,70.09
Rio Claro,RJ,-44.13940564,-22.73172683,458.13
Rio Das Flores,RJ,-43.57643295,-22.17186224,549.96
Rio Das Ostras,RJ,-41.93696713,-22.52394119,8.98
Rio De Janeiro,RJ,-43.22787512,-22.87665212,11.8
Santa Maria Madalena,RJ,-42.01444499,-21.96609447,859.38
Santo Antônio De Pádua,RJ,-42.17791156,-21.53597712,133.08
São Fidélis,RJ,-41.75559231,-21.64362655,31.05
São Francisco De Itabapoana,RJ,-41.11771973,-21.48013813,17.86
São Gonçalo,RJ,-43.03233506,-22.82954731,26.37
São João Da Barra,RJ,-41.05034815,-21.64045775,8.13
São João De Meriti,RJ,-43.3718846,-22.80233081,15.56
São José De Ubá,RJ,-41.94123194,-21.36022111,157.44
São José Do Vale Do Rio Preto,RJ,-42.9233683,-22.14973951,611
São Pedro Da Aldeia,RJ,-42.10352867,-22.83720319,10.64
São Sebastião Do Alto,RJ,-42.13021968,-21.95446341,614.79
Sapucaia,RJ,-42.91417536,-21.99395587,214.69
Saquarema,RJ,-42.49669405,-22.93112742,5.73
Seropédica,RJ,-43.70192522,-22.74301107,41.37
Silva Jardim,RJ,-42.38982593,-22.6543302,14.53
Sumidouro,RJ,-42.67862558,-22.05066941,358.2
Tanguá,RJ,-42.72117195,-22.73393743,29.27
Teresópolis,RJ,-42.96295671,-22.40900495,931.84
Trajano De Moraes,RJ,-42.05481525,-22.0613797,665.68
Três Rios,RJ,-43.21160944,-22.117448,274.13
Valença,RJ,-43.70484368,-22.24471943,550.86
Varre-Sai,RJ,-41.86329539,-20.92929766,808.03
Vassouras,RJ,-43.66387402,-22.40900757,436.12
Volta Redonda,RJ,-44.09352188,-22.5099676,377.26
