week,predicted_precipitation_avg,predicted_precipitation_max,CITY,precipitation_avg,precipitation_max
201201,4.8055,18.7762,Angra Dos Reis,4.8055,18.7762
201202,3.9205,17.4709,Angra Dos Reis,3.9205,17.4709
201203,1.5316,2.6794,Angra Dos Reis,1.5316,2.6794
201204,1.4004,5.9048,Angra Dos Reis,1.4004,5.9048
201205,1.5285,5.356,Angra Dos Reis,1.5285,5.356
201206,3.8236,26.0474,Angra Dos Reis,3.8236,26.0474
201207,4.3867,30.9145,Angra Dos Reis,4.3867,30.9145
201208,0.5095,3.5334,Angra Dos Reis,0.5095,3.5334
201209,0.8173,3.8688,Angra Dos Reis,0.8173,3.8688
201210,0.4037,3.0199,Angra Dos Reis,0.4037,3.0199
201211,2.4909,11.4666,Angra Dos Reis,2.4909,11.4666
201212,2.5601,11.8453,Angra Dos Reis,2.5601,11.8453
201213,2.6583,13.4306,Angra Dos Reis,2.6583,13.4306
201214,0.8429,5.1018,Angra Dos Reis,0.8429,5.1018
201215,0.5302,2.7439,Angra Dos Reis,0.5302,2.7439
201216,1.7162,8.8836,Angra Dos Reis,1.7162,8.8836
201217,1.0783,5.489,Angra Dos Reis,1.0783,5.489
201218,2.3766,8.437,Angra Dos Reis,2.3766,8.437
201219,0.2218,1.2366,Angra Dos Reis,0.2218,1.2366
201220,2.3532,8.7882,Angra Dos Reis,2.3532,8.7882
201221,0.1295,0.5775,Angra Dos Reis,0.1295,0.5775
201222,1.43,7.8864,Angra Dos Reis,1.43,7.8864
201223,1.5076,9.7388,Angra Dos Reis,1.5076,9.7388
201224,1.0658,6.1929,Angra Dos Reis,1.0658,6.1929
201225,1.4125,5.9575,Angra Dos Reis,1.4125,5.9575
201226,0.2838,1.6372,Angra Dos Reis,0.2838,1.6372
201227,0.0374,0.0578,Angra Dos Reis,0.0374,0.0578
201228,1.2178,6.5302,Angra Dos Reis,1.2178,6.5302
201229,0.8547,3.4122,Angra Dos Reis,0.8547,3.4122
201230,0.0795,0.374,Angra Dos Reis,0.0795,0.374
201231,0.2089,1.2506,Angra Dos Reis,0.2089,1.2506
201232,0.91,4.7977,Angra Dos Reis,0.91,4.7977
201233,0.159,0.6998,Angra Dos Reis,0.159,0.6998
201234,0.0068,0.0749,Angra Dos Reis,0.0068,0.0749
201235,0.4809,2.704,Angra Dos Reis,0.4809,2.704
201236,0.3354,2.1625,Angra Dos Reis,0.3354,2.1625
201237,0.3796,2.2864,Angra Dos Reis,0.3796,2.2864
201238,1.7309,9.2385,Angra Dos Reis,1.7309,9.2385
201239,1.6211,7.4944,Angra Dos Reis,1.6211,7.4944
201240,0.0093,0.0422,Angra Dos Reis,0.0093,0.0422
201241,1.5265,6.2769,Angra Dos Reis,1.5265,6.2769
201242,1.2281,4.0188,Angra Dos Reis,1.2281,4.0188
201243,2.3436,8.0259,Angra Dos Reis,2.3436,8.0259
201244,0.4498,1.8582,Angra Dos Reis,0.4498,1.8582
201245,0.841,2.8047,Angra Dos Reis,0.841,2.8047
201246,2.9492,10.2234,Angra Dos Reis,2.9492,10.2234
201247,1.2906,7.5575,Angra Dos Reis,1.2906,7.5575
201248,3.2797,13.4759,Angra Dos Reis,3.2797,13.4759
201249,0.6998,4.2423,Angra Dos Reis,0.6998,4.2423
201250,3.0552,12.3632,Angra Dos Reis,3.0552,12.3632
201251,1.1009,3.5918,Angra Dos Reis,1.1009,3.5918
201252,0.1129,1.0786,Angra Dos Reis,0.1129,1.0786
201253,2.9083,5.4659,Angra Dos Reis,2.9083,5.4659
201300,2.5783,8.5183,Angra Dos Reis,2.5783,8.5183
201301,3.3422,14.822,Angra Dos Reis,3.3422,14.822
201302,5.9349,21.7607,Angra Dos Reis,5.9349,21.7607
201303,3.5551,14.7638,Angra Dos Reis,3.5551,14.7638
201304,0.9868,0.5409,Angra Dos Reis,0.9868,0.5409
201305,3.3167,9.6957,Angra Dos Reis,3.3167,9.6957
201306,0.0,0.0,Angra Dos Reis,-0.0351,-0.1831
201307,0.0,0.0796,Angra Dos Reis,-0.0437,0.0796
201308,2.5682,8.7169,Angra Dos Reis,2.5682,8.7169
201309,4.1288,18.2354,Angra Dos Reis,4.1288,18.2354
201310,3.6211,15.281,Angra Dos Reis,3.6211,15.281
201311,4.2774,16.9431,Angra Dos Reis,4.2774,16.9431
201312,3.0722,11.7803,Angra Dos Reis,3.0722,11.7803
201313,2.5055,12.8426,Angra Dos Reis,2.5055,12.8426
201314,1.6616,8.1785,Angra Dos Reis,1.6616,8.1785
201315,0.4351,2.5804,Angra Dos Reis,0.4351,2.5804
201316,0.2563,1.4141,Angra Dos Reis,0.2563,1.4141
201317,0.0539,0.1463,Angra Dos Reis,0.0539,0.1463
201318,0.4461,2.4705,Angra Dos Reis,0.4461,2.4705
201319,1.1779,7.0752,Angra Dos Reis,1.1779,7.0752
201320,1.5251,6.6902,Angra Dos Reis,1.5251,6.6902
201321,1.1162,3.8135,Angra Dos Reis,1.1162,3.8135
201322,1.5377,6.7561,Angra Dos Reis,1.5377,6.7561
201323,0.6674,4.0357,Angra Dos Reis,0.6674,4.0357
201324,0.0689,0.3071,Angra Dos Reis,0.0689,0.3071
201325,0.3745,2.1118,Angra Dos Reis,0.3745,2.1118
201326,1.2445,6.8672,Angra Dos Reis,1.2445,6.8672
201327,0.7543,3.3835,Angra Dos Reis,0.7543,3.3835
201328,1.3536,6.4985,Angra Dos Reis,1.3536,6.4985
201329,1.8751,7.2659,Angra Dos Reis,1.8751,7.2659
201330,0.0473,0.1179,Angra Dos Reis,0.0473,0.1179
201331,0.0226,0.1292,Angra Dos Reis,0.0226,0.1292
201332,0.2899,1.6762,Angra Dos Reis,0.2899,1.6762
201333,0.5174,2.964,Angra Dos Reis,0.5174,2.964
201334,0.0531,0.2542,Angra Dos Reis,0.0531,0.2542
201335,1.1012,4.6765,Angra Dos Reis,1.1012,4.6765
201336,0.0629,0.2303,Angra Dos Reis,0.0629,0.2303
201337,0.3199,1.6872,Angra Dos Reis,0.3199,1.6872
201338,0.9119,3.7048,Angra Dos Reis,0.9119,3.7048
201339,2.7589,8.1884,Angra Dos Reis,2.7589,8.1884
201340,0.3513,1.6869,Angra Dos Reis,0.3513,1.6869
201341,3.0351,10.0615,Angra Dos Reis,3.0351,10.0615
201342,1.2147,3.5714,Angra Dos Reis,1.2147,3.5714
201343,0.5187,2.1241,Angra Dos Reis,0.5187,2.1241
201344,1.3394,4.4852,Angra Dos Reis,1.3394,4.4852
201345,0.586,3.8507,Angra Dos Reis,0.586,3.8507
201346,4.6251,15.7465,Angra Dos Reis,4.6251,15.7465
201347,3.2586,13.0273,Angra Dos Reis,3.2586,13.0273
201348,3.8275,23.331,Angra Dos Reis,3.8275,23.331
201349,3.6524,10.9809,Angra Dos Reis,3.6524,10.9809
201350,0.6962,3.3542,Angra Dos Reis,0.6962,3.3542
201351,0.545,1.9231,Angra Dos Reis,0.545,1.9231
201352,4.5457,11.0199,Angra Dos Reis,4.5457,11.0199
201400,1.7798,6.8928,Angra Dos Reis,1.7798,6.8928
201401,1.725,7.0631,Angra Dos Reis,1.725,7.0631
201402,5.2266,21.5789,Angra Dos Reis,5.2266,21.5789
201403,0.4149,2.07,Angra Dos Reis,0.4149,2.07
201404,0.0,0.0,Angra Dos Reis,-0.0591,-0.4253
201405,0.0,0.0,Angra Dos Reis,-0.0052,-0.0023
201406,7.067,47.4595,Angra Dos Reis,7.067,47.4595
201407,2.6988,11.0003,Angra Dos Reis,2.6988,11.0003
201408,0.9573,5.3638,Angra Dos Reis,0.9573,5.3638
201409,8.5515,37.7464,Angra Dos Reis,8.5515,37.7464
201410,0.4095,2.7226,Angra Dos Reis,0.4095,2.7226
201411,3.0917,13.0206,Angra Dos Reis,3.0917,13.0206
201412,2.0876,10.4154,Angra Dos Reis,2.0876,10.4154
201413,1.5825,7.4824,Angra Dos Reis,1.5825,7.4824
201414,0.0082,0.0954,Angra Dos Reis,0.0082,0.0954
201415,1.918,6.6124,Angra Dos Reis,1.918,6.6124
201416,2.284,11.7304,Angra Dos Reis,2.284,11.7304
201417,0.9663,3.6999,Angra Dos Reis,0.9663,3.6999
201418,1.3981,7.6819,Angra Dos Reis,1.3981,7.6819
201419,0.4535,2.1876,Angra Dos Reis,0.4535,2.1876
201420,0.8677,4.7498,Angra Dos Reis,0.8677,4.7498
201421,1.0089,4.5611,Angra Dos Reis,1.0089,4.5611
201422,0.3933,2.1435,Angra Dos Reis,0.3933,2.1435
201423,0.9564,4.6675,Angra Dos Reis,0.9564,4.6675
201424,1.1754,6.0206,Angra Dos Reis,1.1754,6.0206
201425,0.4381,2.708,Angra Dos Reis,0.4381,2.708
201426,0.2915,1.7161,Angra Dos Reis,0.2915,1.7161
201427,3.9538,14.7627,Angra Dos Reis,3.9538,14.7627
201428,0.4048,2.1122,Angra Dos Reis,0.4048,2.1122
201429,0.3895,1.7334,Angra Dos Reis,0.3895,1.7334
201430,1.1455,5.6621,Angra Dos Reis,1.1455,5.6621
201431,0.3219,1.6884,Angra Dos Reis,0.3219,1.6884
201432,0.6623,3.417,Angra Dos Reis,0.6623,3.417
201433,0.3218,1.9472,Angra Dos Reis,0.3218,1.9472
201434,0.6297,3.9537,Angra Dos Reis,0.6297,3.9537
201435,0.9686,2.9991,Angra Dos Reis,0.9686,2.9991
201436,0.0127,0.0459,Angra Dos Reis,0.0127,0.0459
201437,1.0395,5.9732,Angra Dos Reis,1.0395,5.9732
201438,1.272,5.6371,Angra Dos Reis,1.272,5.6371
201439,2.4109,12.1713,Angra Dos Reis,2.4109,12.1713
201440,0.0567,0.3898,Angra Dos Reis,0.0567,0.3898
201441,0.0261,0.1728,Angra Dos Reis,0.0261,0.1728
201442,0.9756,4.4038,Angra Dos Reis,0.9756,4.4038
201443,2.8467,14.9866,Angra Dos Reis,2.8467,14.9866
201444,0.8426,4.3573,Angra Dos Reis,0.8426,4.3573
201445,2.7194,8.5411,Angra Dos Reis,2.7194,8.5411
201446,0.7412,4.2137,Angra Dos Reis,0.7412,4.2137
201447,2.5618,10.2475,Angra Dos Reis,2.5618,10.2475
201448,2.5413,13.2578,Angra Dos Reis,2.5413,13.2578
201449,1.2053,4.5826,Angra Dos Reis,1.2053,4.5826
201450,0.6389,4.2705,Angra Dos Reis,0.6389,4.2705
201451,1.0261,3.5328,Angra Dos Reis,1.0261,3.5328
201452,2.5077,8.3969,Angra Dos Reis,2.5077,8.3969
201500,0.9805,3.231,Angra Dos Reis,0.9805,3.231
201501,4.1256,19.1004,Angra Dos Reis,4.1256,19.1004
201502,0.0,0.0026,Angra Dos Reis,-0.0038,0.0026
201503,2.2019,6.8505,Angra Dos Reis,2.2019,6.8505
201504,5.2651,15.2128,Angra Dos Reis,5.2651,15.2128
